"failures","probs"
926,"98.8873"
927,"98.8940"
928,"98.9007"
929,"98.9074"
930,"98.9140"
931,"98.9206"
932,"98.9272"
933,"98.9337"
934,"98.9402"
935,"98.9466"
936,"98.9530"
937,"98.9594"
938,"98.9657"
939,"98.9720"
940,"98.9783"
941,"98.9845"
942,"98.9907"
943,"98.9968"
944,"99.0029"
945,"99.0090"
946,"99.0150"
947,"99.0210"
948,"99.0270"
949,"99.0329"
950,"99.0388"
951,"99.0446"
952,"99.0505"
953,"99.0563"
954,"99.0620"
955,"99.0677"
956,"99.0734"
957,"99.0791"
958,"99.0847"
959,"99.0903"
960,"99.0958"
961,"99.1013"
962,"99.1068"
963,"99.1123"
964,"99.1177"
965,"99.1231"
966,"99.1284"
967,"99.1337"
968,"99.1390"
969,"99.1443"
970,"99.1495"
971,"99.1547"
972,"99.1599"
973,"99.1650"
974,"99.1701"
975,"99.1752"
976,"99.1802"
977,"99.1852"
978,"99.1902"
979,"99.1952"
980,"99.2001"
981,"99.2050"
982,"99.2098"
983,"99.2147"
984,"99.2195"
985,"99.2242"
986,"99.2290"
987,"99.2337"
988,"99.2384"
989,"99.2431"
990,"99.2477"
991,"99.2523"
992,"99.2569"
993,"99.2614"
994,"99.2660"
995,"99.2705"
996,"99.2749"
997,"99.2794"
998,"99.2838"
999,"99.2882"
1000,"99.2925"
1001,"99.2969"
1002,"99.3012"
1003,"99.3055"
1004,"99.3097"
1005,"99.3140"
1006,"99.3182"
1007,"99.3224"
1008,"99.3265"
1009,"99.3307"
1010,"99.3348"
1011,"99.3389"
1012,"99.3429"
1013,"99.3469"
1014,"99.3510"
1015,"99.3549"
1016,"99.3589"
1017,"99.3628"
1018,"99.3668"
1019,"99.3706"
1020,"99.3745"
1021,"99.3784"
1022,"99.3822"
1023,"99.3860"
1024,"99.3898"
1025,"99.3935"
1026,"99.3972"
1027,"99.4009"
1028,"99.4046"
1029,"99.4083"
1030,"99.4119"
1031,"99.4156"
1032,"99.4192"
1033,"99.4227"
1034,"99.4263"
1035,"99.4298"
1036,"99.4333"
1037,"99.4368"
1038,"99.4403"
1039,"99.4437"
1040,"99.4472"
1041,"99.4506"
1042,"99.4539"
1043,"99.4573"
1044,"99.4607"
1045,"99.4640"
1046,"99.4673"
1047,"99.4706"
1048,"99.4738"
1049,"99.4771"
1050,"99.4803"
1051,"99.4835"
1052,"99.4867"
1053,"99.4899"
1054,"99.4930"
1055,"99.4961"
1056,"99.4992"
1057,"99.5023"
1058,"99.5054"
1059,"99.5085"
1060,"99.5115"
1061,"99.5145"
1062,"99.5175"
1063,"99.5205"
1064,"99.5234"
1065,"99.5264"
1066,"99.5293"
1067,"99.5322"
1068,"99.5351"
1069,"99.5380"
1070,"99.5408"
1071,"99.5437"
1072,"99.5465"
1073,"99.5493"
1074,"99.5521"
1075,"99.5549"
1076,"99.5576"
1077,"99.5604"
1078,"99.5631"
1079,"99.5658"
1080,"99.5685"
1081,"99.5711"
1082,"99.5738"
1083,"99.5764"
1084,"99.5790"
1085,"99.5817"
1086,"99.5842"
1087,"99.5868"
1088,"99.5894"
1089,"99.5919"
1090,"99.5944"
1091,"99.5970"
1092,"99.5995"
1093,"99.6019"
1094,"99.6044"
1095,"99.6069"
1096,"99.6093"
1097,"99.6117"
1098,"99.6141"
1099,"99.6165"
1100,"99.6189"
1101,"99.6213"
1102,"99.6236"
1103,"99.6259"
1104,"99.6283"
1105,"99.6306"
1106,"99.6329"
1107,"99.6351"
1108,"99.6374"
1109,"99.6396"
1110,"99.6419"
1111,"99.6441"
1112,"99.6463"
1113,"99.6485"
1114,"99.6507"
1115,"99.6529"
1116,"99.6550"
1117,"99.6572"
1118,"99.6593"
1119,"99.6614"
1120,"99.6635"
1121,"99.6656"
1122,"99.6677"
1123,"99.6697"
1124,"99.6718"
1125,"99.6738"
1126,"99.6759"
1127,"99.6779"
1128,"99.6799"
1129,"99.6819"
1130,"99.6839"
1131,"99.6858"
1132,"99.6878"
1133,"99.6897"
1134,"99.6916"
1135,"99.6936"
1136,"99.6955"
1137,"99.6974"
1138,"99.6993"
1139,"99.7011"
1140,"99.7030"
1141,"99.7048"
1142,"99.7067"
1143,"99.7085"
1144,"99.7103"
1145,"99.7121"
1146,"99.7139"
1147,"99.7157"
1148,"99.7175"
1149,"99.7192"
1150,"99.7210"
1151,"99.7227"
1152,"99.7244"
1153,"99.7262"
1154,"99.7279"
1155,"99.7296"
1156,"99.7312"
1157,"99.7329"
1158,"99.7346"
1159,"99.7362"
1160,"99.7379"
1161,"99.7395"
1162,"99.7411"
1163,"99.7428"
1164,"99.7444"
1165,"99.7460"
1166,"99.7475"
1167,"99.7491"
1168,"99.7507"
1169,"99.7522"
1170,"99.7538"
1171,"99.7553"
1172,"99.7569"
1173,"99.7584"
1174,"99.7599"
1175,"99.7614"
1176,"99.7629"
1177,"99.7644"
1178,"99.7658"
1179,"99.7673"
1180,"99.7687"
1181,"99.7702"
1182,"99.7716"
1183,"99.7731"
1184,"99.7745"
1185,"99.7759"
1186,"99.7773"
1187,"99.7787"
1188,"99.7801"
1189,"99.7814"
1190,"99.7828"
1191,"99.7842"
1192,"99.7855"
1193,"99.7868"
1194,"99.7882"
1195,"99.7895"
1196,"99.7908"
1197,"99.7921"
1198,"99.7934"
1199,"99.7947"
1200,"99.7960"
1201,"99.7973"
1202,"99.7986"
1203,"99.7998"
1204,"99.8011"
1205,"99.8023"
1206,"99.8036"
1207,"99.8048"
1208,"99.8060"
1209,"99.8072"
1210,"99.8084"
1211,"99.8096"
1212,"99.8108"
1213,"99.8120"
1214,"99.8132"
1215,"99.8144"
1216,"99.8155"
1217,"99.8167"
1218,"99.8178"
1219,"99.8190"
1220,"99.8201"
1221,"99.8212"
1222,"99.8224"
1223,"99.8235"
1224,"99.8246"
1225,"99.8257"
1226,"99.8268"
1227,"99.8279"
1228,"99.8289"
